text,text_clean
Pertamina bisu dek 😂😭,"['pertamina', 'bisu', 'dek']"
"MBAKK SAMA BANGET DEMI ALLAH AKU GA IKHLASSSSS, BIARIN NTAR TAK TUNTUT DI AKHIRAT😭😞","['mbakk', 'banget', 'allah', 'tidak', 'ikhlasssss', 'biarin', 'ntar', 'tuntut', 'akhirat']"
"sudah disidak sama Pertamina dan tim bahlil,, katanya kualitas BBM di jatim baik baik saja,, yaampuuuun,, gini amat jadi WNI,, 😌serius kita cuma pasrah","['disidak', 'pertamina', 'tim', 'bahlil', 'kualitas', 'bbm', 'jatim', 'yaampuuuun', 'gin', 'wni', 'serius', 'pasrah']"
ncen e bahlil ahli neroko,"['ncen', 'e', 'bahlil', 'ahli', 'neroko']"
UU perlindungan konsumen ga berlaku pada Pertamina 🙂 susah ngelawan Perusahaan BUMN. Kecuali masyarakat bersatu untuk demo meminta agar kembalikan kualitas yang layak untuk kendaraan mereka.,"['uu', 'lindung', 'konsumen', 'tidak', 'laku', 'pertamina', 'susah', 'ngelawan', 'usaha', 'bumn', 'kecuali', 'masyarakat', 'satu', 'demo', 'kembali', 'kualitas', 'layak', 'kendara']"
gais baca doa nabi yunus aja khusus buat pertamina dan jajarannya,"['gais', 'baca', 'doa', 'nabi', 'yunus', 'aja', 'khusus', 'pertamina', 'jajar']"
"klarifikasi pertamina di berita tv nasional tadi udah dicek sesuai prosedur dan yang bermasalah motor masyarakat padahal udah jelas bensinnya gabisa nyatu kayak ada airnya, logikanya kalo motor masyarakat yang memang bermasalah ga akan massal ini yang kena imbas","['klarifikasi', 'pertamina', 'berita', 'tv', 'nasional', 'cek', 'sesuai', 'prosedur', 'masalah', 'motor', 'masyarakat', 'bensin', 'gabisa', 'nyatu', 'kayak', 'air', 'logika', 'motor', 'masyarakat', 'masalah', 'tidak', 'massal', 'kena', 'imbas']"
"next isi BP mba, wes ready nang nginden, kertajaya, pemuda, karo citraland","['next', 'isi', 'bp', 'mba', 'wes', 'ready', 'nang', 'nginden', 'kertajaya', 'pemuda', 'karo', 'citraland']"
dikiro rakyat iki duit e ga entek² 7 turunan gawe nang bengkel 😭 mangkel,"['dikiro', 'rakyat', 'iki', 'duit', 'e', 'tidak', 'entek', 'turun', 'gawe', 'nang', 'bengkel', 'mangkel']"
"please siapapun yang bertanggung jawab notis dong kita nih rakyat kecil di dzolimi terus, itu kendaraan kalau rusak juga servisnya pakai uang sendiri kasian banget kita rakyat kecil 😭","['please', 'tanggung', 'not', 'rakyat', 'dzolimi', 'kendara', 'rusak', 'servis', 'pakai', 'uang', 'kasi', 'banget', 'rakyat']"
Jare saiki wes isok klaim perbaikan motor mbak nak SPBU. Tapi koen eruh salah siji syarate? Melampirkan struk. 🤣🤣 Sejak kapan tuku bensin entuk struk? Ket jaman elek yo ga pernah dikei struk. Nek wayahe njaluk yo alesane opo bolo?? Coba ke'i contoh alesane petugase opo ae... 👇,"['jare', 'saiki', 'wes', 'isok', 'klaim', 'baik', 'motor', 'mbak', 'anak', 'spbu', 'koen', 'eruh', 'salah', 'siji', 'syarate', 'lampir', 'struk', 'tuku', 'bensin', 'entuk', 'struk', 'ket', 'jaman', 'elek', 'yo', 'tidak', 'dikei', 'struk', 'nek', 'wayahe', 'njaluk', 'yo', 'alesane', 'opo', 'bolo', 'coba', 'kei', 'contoh', 'alesane', 'petugase', 'opo', 'ae']"
ngene kok jare onok berita jatim aman LAH IKI BUKTIE??!!,"['ngene', 'jare', 'onok', 'berita', 'jatim', 'aman', 'iki', 'buktie']"
Bahlil menanggung DOSA semua masyarakat yg isi bensin di Pertamina 🗿,"['bahlil', 'tanggung', 'dosa', 'masyarakat', 'isi', 'bensin', 'pertamina']"
"pegawai Pertamina gaji AKEH...Podo dzolim Kabeh... Mentri ne Podo...g ikhlas,g ridho....kita sama2 tuntut di akhirat..Krn hukum dunia sangat lemah","['pegawai', 'pertamina', 'gaji', 'akehpodo', 'dzolim', 'kabeh', 'tri', 'ne', 'podog', 'ikhlasg', 'ridhokita', 'tuntut', 'akhiratkrn', 'hukum', 'dunia', 'lemah']"
WNI melbu surgo kabeh iki😌,"['wni', 'melbu', 'surgo', 'kabeh', 'iki']"
Alhamdulillah motorku aman gawe pertamax…motor genio,"['alhamdulillah', 'motor', 'aman', 'gawe', 'pertamaxmotor', 'genio']"
mewakili curahan hati para warga brebet se Indonesia😂,"['wakil', 'curah', 'hati', 'warga', 'brebet', 'indonesia']"
minimal klo monopoli pasar produknya bagus 😭😭,"['minimal', 'monopoli', 'pasar', 'produk', 'bagus']"
"yaallah urip ning konoha enek wae cobaane, dzolim iki pemerintahe😭😭","['yaallah', 'urip', 'ning', 'konoha', 'enek', 'wae', 'cobaane', 'dzolim', 'iki', 'pemerintahe']"
Wis viral ....Wis di lapori.... Pertamina e anteng ae koyok ngak onok opo2 😁😂🤣....awak 2,"['wis', 'viral', 'wis', 'lapor', 'pertamina', 'e', 'anteng', 'ae', 'koyok', 'ngak', 'onok', 'opo', 'awak']"
